Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,PN,PROD_ID,SUPPLIER,VALUE
R19,240,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,,RC0603JR-07240RL,,,
C13,.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C16,.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C17,.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C27,.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C10,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C11,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C14,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C15,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C19,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C29,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C30,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C33,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C34,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C38,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C5,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C6,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C7,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C8,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
C9,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,,,,
R23,0R005,WSL3637,R-3637,,,,,,,KRL1632E-M-R005-G-T5,,,
R4,0R005,WSL3637,R-3637,,,,,,,KRL1632E-M-R005-G-T5,,,
R12,0R047,R-US_M1206,M1206,"RESISTOR, American symbol",,,,,,MCR18EZHFSR047,,,
R26,0R047,R-US_M1206,M1206,"RESISTOR, American symbol",,,,,,MCR18EZHFSR047,,,
R1,100k,R-US_M0805,M0805,"RESISTOR, American symbol",,,,,,RL1220T-R039,,,
