"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"C1";"18pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";
"C2";"18pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";
"C3";"3.3uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";
"C4";"3.3uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";
"C5";"0.15uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";
"C6";"10uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";
"C7";"100nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";
"C8";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";
"C9";"10uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";
"C10";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";
"C11";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";
"C12";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";
"C13";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";
"C14";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";
"C15";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";
"C16";"4.7nF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";
"C17";"0.1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";
"C18";"100n";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";
"C19";"100n";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";
"C20";"100n";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";
"C21";"100 pF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";
"C22";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";
"C23";"10uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";
"C24";"10uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";
"D1";"1N4148";"DIODESOD-123";"SOD-123";"Diode";"";"";"";"";"";
"D2";"B160-FDICT_NB";"B160-FDICT_NB";"B160-FDICT-NB";"";"";"";"";"";"";
"D3";"1N5819";"1N5819-BSOD123";"SOD123";"1.0A SCHOTTKY BARRIER RECTIFIER";"";"";"";"";"";
"F3";"15V,0.5A";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"";"";"";"";"";
"F4";"15V,0.5A";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"";"";"";"";"";
"F5";"15V,0.5A";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"";"";"";"";"";
"H7";"ICSP";"M03X2SMD_FCI";"2X3_SMD_FCI_54202-G30";"2x3 .1" header.";"";"";"";"";"";
"IC1";"AT90CAN128";"AT90CAN128";"TQFP64";"";"";"";"";"";"";
"IC2";"MCP2551SO8";"MCP2551SO8";"SO08";"CAN Tranceiver Microchip";"";"";"";"";"";
"IC3";"NUP2105L";"NUP2105L";"SOT-23";"";"";"";"";"";"";
"IC4";"FT801";"FT801";"RGZ48_5P15X5P15";"IC TFT LCD CONTROLLER 48VQFN";"";"";"";"";"";
"IC5";"FT232RL";"FT232RL";"SSOP28";"";"";"";"";"";"";
"IC6";"LP5907-3.3";"LP5907";"SOT23-DBV";"";"";"";"";"";"";
"IC7";"LM5000";"LM5000";"LM5000";"";"";"";"";"";"";
"IC8";"NCP1117";"NCP1117";"SOT-223-4";"";"";"";"";"";"";
"IC9";"74LCX125M";"74LCX125M";"SOIC127P600X175-14N";"Low Voltage Quad Buffer with 5V Tolerant Inputs and Outputs";"74LCX125M";"1013776";"78K6286";"SOIC-14";"Fairchild";
"J1";"1734753-1_MINIUSB_CON";"1734753-1_MINIUSB_CON";"1734753-1_MINIUSB_CON";"";"";"";"";"";"";
"J2";"EN3C12M26X";"EN3C12M26X";"EN3C12M26X";"";"";"";"";"";"";
"J3";"043650-0409";"043650-0409";"043650-0409";"";"";"";"";"";"";
"J4";"043650-0409";"043650-0409";"043650-0409";"";"";"";"";"";"";
"J5";"043650-0409";"043650-0409";"043650-0409";"";"";"";"";"";"";
"L1";"CS321613-100K";"L-USL3216C";"L3216C";"INDUCTOR, American symbol";"";"";"";"";"";
"L2";"15uH";"LTF4022-D";"2-SMD";"LTF4022";"";"";"";"";"";
"LCD";"TCG043WQLBAANN-GN00";"TCG043WQLBAANN-GN00";"TCG043WQLBAANN";"";"";"";"";"";"";
